dog_guid,MIN(c.created_at),hour,day,month,gender,neutered,personality,age,weight,breed,btype,bgroup,ntests,mid
fd27b86c-7144-11e5-ba71-058fbc01cf0b,2013-02-05 18:26:54,18,3,2,female,0,einstein,4.0,190,Shih Tzu,Pure Breed,Toy,31,7.7342542438
fd27ba1a-7144-11e5-ba71-058fbc01cf0b,2013-02-05 20:35:47,20,3,2,male,1,maverick,32.0,190,Shih Tzu,Pure Breed,Toy,27,6.1905898326
fd27d770-7144-11e5-ba71-058fbc01cf0b,2013-02-10 15:10:37,15,1,2,female,1,socialite,3.0,60,Bouvier des Flandres,Pure Breed,Herding,25,3.8906365741
fd27d9fa-7144-11e5-ba71-058fbc01cf0b,2014-09-24 15:10:03,15,4,9,female,1,einstein,8.0,90,Mixed,Mixed Breed/ Other/ I Don't Know,,20,0.013653752437
fd27e9a4-7144-11e5-ba71-058fbc01cf0b,2013-03-22 16:13:32,16,6,3,male,0,protodog,2.0,190,Shih Tzu,Pure Breed,Toy,22,5.5305561067
fd27ed46-7144-11e5-ba71-058fbc01cf0b,2013-02-06 20:14:43,20,4,2,female,0,maverick,2.0,190,Shih Tzu,Pure Breed,Toy,25,4.3253255208
fd3ccf2c-7144-11e5-ba71-058fbc01cf0b,2013-10-10 18:47:21,18,5,10,female,1,einstein,7.0,190,Shih Tzu,Pure Breed,Toy,22,13.520467372
fd3d0f00-7144-11e5-ba71-058fbc01cf0b,2013-02-08 15:12:24,15,6,2,male,0,expert,6.0,10,Labradoodle,Popular Hybrid,,20,0.0073531920117
fd3d1b44-7144-11e5-ba71-058fbc01cf0b,2013-05-13 16:17:04,16,2,5,male,1,einstein,5.0,190,Shih Tzu,Pure Breed,Toy,20,3.055451998
fd3d2f9e-7144-11e5-ba71-058fbc01cf0b,2013-02-09 21:48:46,21,7,2,female,1,socialite,8.0,40,Poodle,Pure Breed,Non-Sporting,20,0.0026522904488
fd3d3688-7144-11e5-ba71-058fbc01cf0b,2013-02-10 19:39:00,19,1,2,female,1,ace,5.0,60,Mixed,Mixed Breed/ Other/ I Don't Know,,34,26.732909652
fd3d587a-7144-11e5-ba71-058fbc01cf0b,2013-02-22 17:00:49,17,6,2,male,1,stargazer,3.0,190,Shih Tzu,Pure Breed,Toy,22,1.8643253968
fd3f8aa0-7144-11e5-ba71-058fbc01cf0b,2013-02-13 06:22:47,6,4,2,male,1,renaissance-dog,6.0,30,Beagle,Pure Breed,Hound,23,6.3134048822
fd3fc0ce-7144-11e5-ba71-058fbc01cf0b,2013-02-14 17:44:23,17,5,2,female,1,stargazer,2.0,190,Shih Tzu,Pure Breed,Toy,20,0.00084307991995
fd3fcc40-7144-11e5-ba71-058fbc01cf0b,2013-02-15 05:09:23,5,6,2,female,1,protodog,4.0,10,Chihuahua-Dachshund Mix,Cross Breed,,20,0.010620126709
fd3fdd20-7144-11e5-ba71-058fbc01cf0b,2013-02-17 22:32:10,22,1,2,female,,protodog,4.0,80,German Shepherd Dog,Pure Breed,Herding,20,1.0997874025
fd3fea04-7144-11e5-ba71-058fbc01cf0b,2014-01-09 18:23:32,18,5,1,female,1,ace,10.0,20,Boston Terrier,Pure Breed,Non-Sporting,21,0.15459548612
fd3fea9a-7144-11e5-ba71-058fbc01cf0b,2013-02-18 21:06:28,21,2,2,male,1,einstein,2.0,190,Shih Tzu,Pure Breed,Toy,35,12.480236588
fd3fee14-7144-11e5-ba71-058fbc01cf0b,2013-02-23 18:47:46,18,7,2,female,1,protodog,3.0,30,Mixed,Mixed Breed/ Other/ I Don't Know,,22,2.994804343
fd3ffecc-7144-11e5-ba71-058fbc01cf0b,2013-02-22 17:55:10,17,6,2,male,1,ace,11.0,40,Mixed,Mixed Breed/ Other/ I Don't Know,,23,4.4533154461
fd401614-7144-11e5-ba71-058fbc01cf0b,2013-08-19 14:30:31,14,2,8,female,1,protodog,3.0,190,Shih Tzu,Pure Breed,Toy,36,11.191646825
fd404634-7144-11e5-ba71-058fbc01cf0b,2013-02-21 16:41:41,16,5,2,female,1,maverick,4.0,190,Shih Tzu,Pure Breed,Toy,20,5.7324329922
fd404b02-7144-11e5-ba71-058fbc01cf0b,2013-02-28 01:44:54,1,5,2,male,1,ace,5.0,70,Boxer,Pure Breed,Working,20,2.4086440058
fd404d3c-7144-11e5-ba71-058fbc01cf0b,2013-02-21 19:01:12,19,5,2,female,1,maverick,8.0,20,Mixed,Mixed Breed/ Other/ I Don't Know,,20,5.8291246345
fd4054ee-7144-11e5-ba71-058fbc01cf0b,2013-06-06 13:35:50,13,5,6,female,1,protodog,2.0,190,Shih Tzu,Pure Breed,Toy,45,9.3910051031
fd405732-7144-11e5-ba71-058fbc01cf0b,2013-02-25 20:03:44,20,2,2,female,1,socialite,7.0,40,Mixed,Mixed Breed/ Other/ I Don't Know,,20,2.5366240253
fd405b88-7144-11e5-ba71-058fbc01cf0b,2013-02-22 11:25:02,11,6,2,female,1,protodog,3.0,0,Mixed,Mixed Breed/ Other/ I Don't Know,,31,4.6610760031
fd406466-7144-11e5-ba71-058fbc01cf0b,2013-06-09 15:51:00,15,1,6,male,1,socialite,3.0,20,Miniature Schnauzer-Poodle Mix,Cross Breed,,20,0.11003411306
fd40bd62-7144-11e5-ba71-058fbc01cf0b,2013-03-03 22:10:22,22,1,3,male,1,stargazer,3.0,190,Shih Tzu,Pure Breed,Toy,35,18.763468137
fd40cb7c-7144-11e5-ba71-058fbc01cf0b,2013-02-28 20:19:45,20,5,2,male,1,ace,5.0,20,Scottish Terrier,Pure Breed,Terrier,20,0.10449439571
