"","1","2","3","4","5","6","7","8","9","10","11","12"
"",10,14,3,1,30,26,36,3,4,321,90,40
"ace",124,67,174,44,191,113,115,84,130,406,114,101
"charmer",94,77,140,130,310,109,12,58,90,233,118,55
"einstein",37,48,48,19,75,54,24,2,62,83,3,7
"expert",2,44,46,78,72,116,28,5,11,68,51,55
"maverick",19,104,21,20,28,119,66,9,66,115,26,12
"protodog",69,142,158,79,165,130,71,109,159,232,51,47
"renaissance-dog",74,58,128,24,136,157,89,21,50,204,49,37
"socialite",106,87,103,123,286,196,87,118,108,212,169,194
"stargazer",42,100,193,87,121,163,36,105,48,89,88,69
