"","X.3","X.2","X.1","X","dog_guid","MIN.c.created_at.","hour","day","month","gender","neutered","personality","age","weight","breed","btype","bgroup","ntests","mid","PC1","PC2"
"1",1,1,1,1,"fd27b86c-7144-11e5-ba71-058fbc01cf0b","2013-02-05 18:26:54",18,3,2,"female",0,"einstein","2-4",">139","Shih Tzu","Pure Breed","Toy",31,7.7342542438,-3.25778420351169,2.00597512031468
"2",2,2,2,2,"fd27ba1a-7144-11e5-ba71-058fbc01cf0b","2013-02-05 20:35:47",20,3,2,"male",1,"maverick",">10",">139","Shih Tzu","Pure Breed","Toy",27,6.1905898326,-2.29846163288788,-0.547077256123855
"3",3,3,3,3,"fd27d770-7144-11e5-ba71-058fbc01cf0b","2013-02-10 15:10:37",15,1,2,"female",1,"socialite","2-4","50-89","Bouvier des Flandres","Pure Breed","Herding",25,3.8906365741,0.477729615091117,2.77359491489263
"4",4,4,4,4,"fd27d9fa-7144-11e5-ba71-058fbc01cf0b","2014-09-24 15:10:03",15,4,9,"female",1,"einstein","7-10","90-139","Mixed","Mixed Breed/ Other/ I Don't Know","",20,0.013653752437,-0.131371711221511,-1.15339572042372
"5",5,5,5,5,"fd27e9a4-7144-11e5-ba71-058fbc01cf0b","2013-03-22 16:13:32",16,6,3,"male",0,"protodog","2-4",">139","Shih Tzu","Pure Breed","Toy",22,5.5305561067,0.414550488719982,2.78886022825278
"6",6,6,6,6,"fd27ed46-7144-11e5-ba71-058fbc01cf0b","2013-02-06 20:14:43",20,4,2,"female",0,"maverick","2-4",">139","Shih Tzu","Pure Breed","Toy",25,4.3253255208,0.0850667853566643,2.43368772870571
"7",7,7,7,7,"fd3ccf2c-7144-11e5-ba71-058fbc01cf0b","2013-10-10 18:47:21",18,5,10,"female",1,"einstein","5-7",">139","Shih Tzu","Pure Breed","Toy",22,13.520467372,-1.52679937514505,-0.0638017603880962
"8",8,8,8,8,"fd3d0f00-7144-11e5-ba71-058fbc01cf0b","2013-02-08 15:12:24",15,6,2,"male",0,"expert","5-7","0-19","Labradoodle","Popular Hybrid","",20,0.0073531920117,-0.475004025473774,1.75558421232291
"9",9,9,9,9,"fd3d1b44-7144-11e5-ba71-058fbc01cf0b","2013-05-13 16:17:04",16,2,5,"male",1,"einstein","5-7",">139","Shih Tzu","Pure Breed","Toy",20,3.055451998,-1.57147974063143,0.979494615233971
"10",10,10,10,10,"fd3d2f9e-7144-11e5-ba71-058fbc01cf0b","2013-02-09 21:48:46",21,7,2,"female",1,"socialite","7-10","20-49","Poodle","Pure Breed","Non-Sporting",20,0.0026522904488,-0.602350038256923,-3.18409663973366
"11",11,11,11,11,"fd3d3688-7144-11e5-ba71-058fbc01cf0b","2013-02-10 19:39:00",19,1,2,"female",1,"ace","5-7","50-89","Mixed","Mixed Breed/ Other/ I Don't Know","",34,26.732909652,-1.16779097714023,0.0132955238087303
"12",12,12,12,12,"fd3d587a-7144-11e5-ba71-058fbc01cf0b","2013-02-22 17:00:49",17,6,2,"male",1,"stargazer","2-4",">139","Shih Tzu","Pure Breed","Toy",22,1.8643253968,-1.90023157661284,1.15044885662059
"13",13,13,13,13,"fd3f8aa0-7144-11e5-ba71-058fbc01cf0b","2013-02-13 06:22:47",6,4,2,"male",1,"renaissance-dog","5-7","20-49","Beagle","Pure Breed","Hound",23,6.3134048822,3.36172222316637,-0.989779336364832
"14",14,14,14,14,"fd3fc0ce-7144-11e5-ba71-058fbc01cf0b","2013-02-14 17:44:23",17,5,2,"female",1,"stargazer","2-4",">139","Shih Tzu","Pure Breed","Toy",20,0.00084307991995,-1.69331037564894,0.893262437779645
